[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- detail.html
	- index.html
	- my.bak
	- register.html

[GIN-debug] GET    /                         --> _/home/ubuntu/go_demo/myproject/controllers.IndexGet (3 handlers)
[GIN-debug] GET    /detail                   --> _/home/ubuntu/go_demo/myproject/controllers.DetailGet (3 handlers)
[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :80
signal: interrupt
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- detail.html
	- index.html
	- my.bak
	- register.html

[GIN-debug] GET    /                         --> _/home/ubuntu/go_demo/myproject/controllers.IndexGet (3 handlers)
[GIN-debug] GET    /detail                   --> _/home/ubuntu/go_demo/myproject/controllers.DetailGet (3 handlers)
[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :80
[GIN] 2019/05/10 - 20:35:40 | 404 |       1.761µs |    202.29.52.15 | POST     /wuwu11.php
[GIN] 2019/05/10 - 20:35:40 | 404 |       2.274µs |    202.29.52.15 | POST     /xw.php
[GIN] 2019/05/10 - 20:35:40 | 404 |       1.433µs |    202.29.52.15 | POST     /xw1.php
[GIN] 2019/05/10 - 20:35:41 | 404 |       1.648µs |    202.29.52.15 | POST     /9678.php
[GIN] 2019/05/10 - 20:35:41 | 404 |       2.336µs |    202.29.52.15 | POST     /wc.php
[GIN] 2019/05/10 - 20:35:41 | 404 |       7.692µs |    202.29.52.15 | POST     /xx.php
[GIN] 2019/05/10 - 20:35:41 | 404 |       1.758µs |    202.29.52.15 | POST     /xx.php
[GIN] 2019/05/10 - 20:35:42 | 404 |      15.738µs |    202.29.52.15 | POST     /s.php
[GIN] 2019/05/10 - 20:35:42 | 404 |       2.132µs |    202.29.52.15 | POST     /w.php
[GIN] 2019/05/10 - 20:35:43 | 404 |       2.093µs |    202.29.52.15 | POST     /sheep.php
[GIN] 2019/05/10 - 20:35:44 | 404 |       1.666µs |    202.29.52.15 | POST     /qaq.php
[GIN] 2019/05/10 - 20:35:44 | 404 |       1.999µs |    202.29.52.15 | POST     /my.php
[GIN] 2019/05/10 - 20:35:44 | 404 |        1.61µs |    202.29.52.15 | POST     /qq.php
[GIN] 2019/05/10 - 20:35:45 | 404 |      14.891µs |    202.29.52.15 | POST     /aaa.php
[GIN] 2019/05/10 - 20:35:45 | 404 |       2.084µs |    202.29.52.15 | POST     /hhh.php
[GIN] 2019/05/10 - 20:35:45 | 404 |       2.015µs |    202.29.52.15 | POST     /jjj.php
[GIN] 2019/05/10 - 20:35:45 | 404 |       1.847µs |    202.29.52.15 | POST     /vvv.php
[GIN] 2019/05/10 - 20:35:46 | 404 |       2.052µs |    202.29.52.15 | POST     /www.php
[GIN] 2019/05/10 - 20:35:46 | 404 |       2.188µs |    202.29.52.15 | POST     /ffr.php
[GIN] 2019/05/10 - 20:35:47 | 404 |       2.197µs |    202.29.52.15 | POST     /411.php
[GIN] 2019/05/10 - 20:35:47 | 404 |      16.165µs |    202.29.52.15 | POST     /415.php
[GIN] 2019/05/10 - 20:35:48 | 404 |      11.776µs |    202.29.52.15 | POST     /421.php
[GIN] 2019/05/10 - 20:35:48 | 404 |       2.438µs |    202.29.52.15 | POST     /444.php
[GIN] 2019/05/10 - 20:35:48 | 404 |       1.973µs |    202.29.52.15 | POST     /a411.php
[GIN] 2019/05/10 - 20:35:48 | 404 |       2.061µs |    202.29.52.15 | POST     /whoami.php
[GIN] 2019/05/10 - 20:35:49 | 404 |       1.675µs |    202.29.52.15 | POST     /whoami.php.php
[GIN] 2019/05/10 - 20:35:49 | 404 |        2.15µs |    202.29.52.15 | POST     /9.php
[GIN] 2019/05/10 - 20:35:49 | 404 |       1.749µs |    202.29.52.15 | POST     /98k.php
[GIN] 2019/05/10 - 20:35:50 | 404 |       1.992µs |    202.29.52.15 | POST     /981.php
[GIN] 2019/05/10 - 20:35:50 | 404 |       2.001µs |    202.29.52.15 | POST     /888.php
[GIN] 2019/05/10 - 20:35:52 | 404 |       2.148µs |    202.29.52.15 | POST     /887.php
[GIN] 2019/05/10 - 20:35:52 | 404 |        1.97µs |    202.29.52.15 | POST     /aa.php
[GIN] 2019/05/10 - 20:35:52 | 404 |       2.028µs |    202.29.52.15 | POST     /bb.php
[GIN] 2019/05/10 - 20:35:52 | 404 |       1.927µs |    202.29.52.15 | POST     /pp.php
[GIN] 2019/05/10 - 20:35:53 | 404 |       1.763µs |    202.29.52.15 | POST     /tt.php
[GIN] 2019/05/10 - 20:35:53 | 404 |       1.762µs |    202.29.52.15 | POST     /bbq.php
[GIN] 2019/05/10 - 20:35:53 | 404 |       1.896µs |    202.29.52.15 | POST     /jj1.php
[GIN] 2019/05/10 - 20:35:54 | 404 |       1.662µs |    202.29.52.15 | POST     /jbb.php
[GIN] 2019/05/10 - 20:35:54 | 404 |           2µs |    202.29.52.15 | POST     /7o.php
[GIN] 2019/05/10 - 20:35:56 | 404 |        13.4µs |    202.29.52.15 | POST     /qwq.php
[GIN] 2019/05/10 - 20:35:57 | 404 |       1.798µs |    202.29.52.15 | POST     /nb.php
[GIN] 2019/05/10 - 20:35:57 | 404 |       2.176µs |    202.29.52.15 | POST     /kpl.php
[GIN] 2019/05/10 - 20:35:57 | 404 |      11.409µs |    202.29.52.15 | POST     /hgx.php
[GIN] 2019/05/10 - 20:35:57 | 404 |       1.548µs |    202.29.52.15 | POST     /ppl.php
[GIN] 2019/05/10 - 20:35:58 | 404 |       2.515µs |    202.29.52.15 | POST     /tty.php
[GIN] 2019/05/10 - 20:35:58 | 404 |        2.03µs |    202.29.52.15 | POST     /ooi.php
[GIN] 2019/05/10 - 20:35:58 | 404 |        2.16µs |    202.29.52.15 | POST     /my.php
